From,To
HP,HG
HP,RW
HP,RH
HP,NL
HG,HP
HG,RW
HG,RH
HG,NL
RW,HP
RW,HG
RW,RH
RW,NL
RH,HP
RH,HG
RH,RW
NL,RW
NL,HP
NL,HG
DM,GG
DM,VC
GG,VC
GG,DM
VC,DM
VC,GG
